"","simID","simLabel","scenario","procedure","period","t1","t2","medAvgDep","Q1AvgDep","Q2AvgDep","medFinalDep","Q1finalDep","Q2finalDep","medLowDep","Q1LowDep","Q2LowDep","medAAV","Q1AAV","Q2AAV","medAvgCatch","Q1AvgCatch","Q2AvgCatch","medLowCatch","Q1LowCatch","Q2LowCatch","medProbCritBmsy","medProbCautBmsy","medProbHealBmsy","medProbCritB0","medProbCautB0","medProbHealB0","probFtGtFmsy","yearAtDepProb","probAtDepYear","depAtYearProb","probGteDmsy","probGteLimit","omittedReps"
"1","Sim","Curr-Curr","Curr","Curr","Short",65,71,0.532618337894326,0.315373340346864,0.771020590365756,0.641946520513878,0.298240486315348,1.12374125548898,0.44384210166361,0.173560443010514,0.460993796906637,23.6019410188155,17.9158590427398,37.1346341974165,8.16733267384951,5.56809367490537,10.9076104940927,5.45375951065077,0,7.75691917004123,0.0228571428571429,0.0628571428571428,0.914285714285714,0.832857142857143,0.111428571428571,0.0557142857142857,0.0528571428571429,NA,NA,NA,NA,NA,NA
"2","Sim","Curr-Curr","Curr","Curr","Medium",72,78,0.812217805018493,0.379408552508362,1.48642891033879,0.698344773600646,0.191542589854269,1.51853874534657,0.4670033848901,0.145119011642838,0.924622285414114,21.2685250991916,12.2905316617053,36.0050599529217,13.4058520879868,7.53223281484447,21.4775639535452,8.39851245077731,3.76350964218686,14.4531081376808,0.00857142857142857,0.0628571428571428,0.928571428571429,0.424285714285714,0.227142857142857,0.348571428571429,0.112857142857143,NA,NA,NA,NA,NA,NA
"3","Sim","Curr-Curr","Curr","Curr","Long",65,84,0.672439670428469,0.443393372726869,0.943721357905437,0.523679238529119,0.170870979321272,1.2484583925815,0.166718871056941,0.0571421470447102,0.440464385884354,24.5402893071748,18.8181235023286,33.9171908449858,10.6676429149085,7.77072213581927,14.0047878920103,2.9159866235059,0,6.04068202840436,0.0405,0.1035,0.856,0.6355,0.1585,0.206,0.1325,NA,NA,NA,NA,NA,NA
"4","Sim","Curr-Hist","Curr","Hist","Short",65,71,0.570273608958413,0.318997822011947,0.814926576547611,0.708319586389525,0.344719012309275,1.27326767847357,0.444444439139823,0.214443722278402,0.461202997238507,21.7376123097237,17.4648979218999,30.9853461387315,7.31855068581384,4.89078726726745,9.53983850788706,4.72755826053314,1.72526789211881,6.26761956128608,0.0114285714285714,0.0528571428571429,0.935714285714286,0.797142857142857,0.132857142857143,0.07,0.0214285714285714,NA,NA,NA,NA,NA,NA
"5","Sim","Curr-Hist","Curr","Hist","Medium",72,78,0.883750632340491,0.409133277449924,1.58050165054283,0.729708402459932,0.2222105056896,1.6110533944199,0.509457830358121,0.169375351248017,0.994162180516184,18.8764964419023,12.3421909699097,32.5723930348822,13.2967038002347,7.86024087202277,20.4095943117987,8.28341028735605,3.51505218977272,13.0186212661864,0.00571428571428571,0.0557142857142857,0.938571428571429,0.378571428571429,0.227142857142857,0.394285714285714,0.0785714285714286,NA,NA,NA,NA,NA,NA
"6","Sim","Curr-Hist","Curr","Hist","Long",65,84,0.718269204267429,0.446319908900009,0.999739967904352,0.520522549258446,0.150848681719972,1.23781593026643,0.176876458902093,0.0580317396874293,0.444983604813849,23.5577822839156,17.1854297700339,32.3700342264513,10.3592644363509,7.5995953688321,13.4930486763687,3.44450689616718,0,5.40848808700516,0.036,0.0965,0.8675,0.6035,0.1665,0.23,0.1075,NA,NA,NA,NA,NA,NA
"7","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,0.735370913092768,0.439628593925344,0.993925712858447,1.05463953554357,0.565614268219923,1.62744798839189,0.45120155977396,0.298310230552675,0.461202997238507,36.0429346271924,22.0441279907369,54.6524135163248,3.03410873803627,1.66807122043308,4.29281018572411,1.34367903511358,0.90481011748762,1.83437782269508,0,0.0157142857142857,0.984285714285714,0.587142857142857,0.237142857142857,0.175714285714286,0,NA,NA,NA,NA,NA,NA
"8","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,1.39521919975109,0.85022409502032,2.04969618925948,1.23355417003228,0.58074006650929,2.19141107849346,0.943793040723772,0.432937300522949,1.38197911694642,37.9601758484861,25.1207474512146,58.1444276096268,6.2226057793986,3.87330868924414,10.1065481599236,3.16542140444707,0,5.35791579556274,0,0.00142857142857143,0.998571428571429,0.125714285714286,0.105714285714286,0.768571428571429,0,NA,NA,NA,NA,NA,NA
"9","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,1.04706681796921,0.743653786152253,1.38835256485133,0.866023360333418,0.383163097455815,1.73740689293971,0.40742290280537,0.25513999979844,0.451848056616466,46.0157525204988,36.8492778398612,58.7891723068888,4.73721717597825,3.37737975231531,6.10788649244272,0,0,1.05578012147578,0,0.0115,0.9885,0.3655,0.1785,0.456,0,NA,NA,NA,NA,NA,NA
"10","Sim","Hist-Curr","Hist","Curr","Short",65,71,0.452692095803824,0.224092111871665,0.746937403142011,0.664256410772893,0.272098823266155,1.36229406724878,0.307765118707054,0.0836289611746986,0.35175441939312,27.5141259889196,18.6000772208764,53.5928475372791,8.55829444969977,4.83548725776873,11.446041592199,3.78609116445869,0,8.15333587245507,0.0585714285714286,0.137142857142857,0.804285714285714,0.855714285714286,0.0671428571428571,0.0771428571428571,0.271428571428571,NA,NA,NA,NA,NA,NA
