"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6"
"129","mp$hcr$constCatch","1","1","1","1","1","1"
"130","mp$hcr$ctlPtFreq","1","1","1","1","1","1"
"131","mp$hcr$forecast","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"132","mp$hcr$hcrType","""variableF""","""variableF""","""ccRule""","""variableF""","""variableF""","""ccRule"""
"133","mp$hcr$histFtBase","""Fquant""","""Fquant""","""Fquant""","""Fquant""","""Fquant""","""Fquant"""
"134","mp$hcr$histFtBaseQuant","0.5","0.5","0.5","0.5","0.5","0.5"
"135","mp$hcr$histLowBase","""Bquant""","""Bquant""","""Bquant""","""Bquant""","""Bquant""","""Bquant"""
"136","mp$hcr$histUpperBase","""Bquant""","""Bquant""","""Bquant""","""Bquant""","""Bquant""","""Bquant"""
"137","mp$hcr$inputF","0.225","0.225","0.115","0.225","0.225","0.115"
"138","mp$hcr$lambda1","0","0","0","0","0","0"
"139","mp$hcr$lowBaseEndYr","64","64","64","64","64","64"
"140","mp$hcr$lowBaseQuant","0.1","0.1","0.1","0.1","0.1","0.1"
"141","mp$hcr$lowBaseStartYr","1","1","1","1","1","1"
"142","mp$hcr$lowerBoundMult","0.25","0.25","0.25","0.25","0.25","0.25"
"143","mp$hcr$lowerQuota","0","0","0","0","0","0"
"144","mp$hcr$lowerTrendPct","0.1","0.1","0.1","0.1","0.1","0.1"
"145","mp$hcr$nMCMC","1","1","1","1","1","1"
"146","mp$hcr$nProjYears","5","5","5","5","5","5"
"147","mp$hcr$nThin","1","1","1","1","1","1"
"148","mp$hcr$optRefPt","""useFor""","""useFor""","""useFor""","""useFor""","""useFor""","""useFor"""
"149","mp$hcr$paAdj","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"150","mp$hcr$qLower","0.1","0.1","0.1","0.1","0.1","0.1"
"151","mp$hcr$qUpper","0.9","0.9","0.9","0.9","0.9","0.9"
"152","mp$hcr$relBase","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"153","mp$hcr$remRefBase","""rrBaseFinput""","""rrBaseFinput""","""rrBaseFinput""","""rrBaseFinput""","""rrBaseFinput""","""rrBaseFinput"""
"154","mp$hcr$remRefSource","""rrSrceEquil""","""rrSrceEquil""","""rrSrceEquil""","""rrSrceEquil""","""rrSrceEquil""","""rrSrceEquil"""
"155","mp$hcr$sprX","40","40","40","40","40","40"
"156","mp$hcr$statusBase","""statusBaseB0""","""statusBaseB0""","""statusBaseB0""","""statusBaseB0""","""statusBaseB0""","""statusBaseB0"""
"157","mp$hcr$statusSource","""statusSrceEst""","""statusSrceEst""","""statusSrceEquil""","""statusSrceEst""","""statusSrceEst""","""statusSrceEquil"""
"158","mp$hcr$trendYears","5","5","5","5","5","5"
"159","mp$hcr$updateRefPts","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE"
"160","mp$hcr$upperBaseEndYr","64","64","64","64","64","64"
"161","mp$hcr$upperBaseQuant","0.4","0.4","0.4","0.4","0.4","0.4"
"162","mp$hcr$upperBaseStartYr","1","1","1","1","1","1"
"163","mp$hcr$upperBoundMult","0.31","0.31","0.31","0.31","0.31","0.31"
"164","mp$hcr$upperQuota","1.5","1.5","1.5","1.5","1.5","1.5"
"165","mp$hcr$upperTrendPct","0.9","0.9","0.9","0.9","0.9","0.9"
"166","mp$hcr$useDLL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"167","mp$hcr$useMLE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"168","mp$hcr$useSnow","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"169","opMod$B0","61.39","61.39","61.39","54.56","54.56","54.56"
"170","opMod$L1","10.34","10.34","10.34","10.34","10.34","10.34"
"171","opMod$Linf","31","31","31","31","31","31"
"172","opMod$M","0.47","0.47","0.47","0.45","0.45","0.45"
"173","opMod$aMat50","3.2","3.2","3.2","3.3","3.3","3.3"
"174","opMod$aMat95","4.5","4.5","4.5","5.1","5.1","5.1"
"175","opMod$aSel50","3.2","3.2","3.2","3.3","3.3","3.3"
"176","opMod$aSel95","4.5","4.5","4.5","5.1","5.1","5.1"
"177","opMod$aSelS50","3.2","3.2","3.2","3.3","3.3","3.3"
"178","opMod$aSelS95","4.5","4.5","4.5","5.1","5.1","5.1"
"179","opMod$alpha_g","10.34","10.34","10.34","10.34","10.34","10.34"
"180","opMod$c1","4.5e-06","4.5e-06","4.5e-06","4.5e-06","4.5e-06","4.5e-06"
"181","opMod$c2","3.127","3.127","3.127","3.127","3.127","3.127"
"182","opMod$end.alpha","10.34","10.34","10.34","10.34","10.34","10.34"
"183","opMod$endM","0.47","0.47","0.47","0.45","0.45","0.45"
"184","opMod$gamma.alpha","0.2","0.2","0.2","0.2","0.2","0.2"
"185","opMod$gammaM","0.2","0.2","0.2","0.2","0.2","0.2"
"186","opMod$gammaR","0","0","0","0","0","0"
"187","opMod$historyType","""simHistCC_Curr.csv""","""simHistCC_Curr.csv""","""simHistCC_Curr.csv""","""simHistCC_Hist.csv""","""simHistCC_Hist.csv""","""simHistCC_Hist.csv"""
"188","opMod$initDepTarg","0.2","0.2","0.2","0.2","0.2","0.2"
"189","opMod$initKnots","18","18","18","18","18","18"
"190","opMod$initMaxF","3","3","3","3","3","3"
"191","opMod$initScale","1","1","1","1","1","1"
"192","opMod$maxF","3","3","3","3","3","3"
"193","opMod$nAges","9","9","9","9","9","9"
"194","opMod$nT","84","84","84","84","84","84"
"195","opMod$pulseM","0","0","0","0","0","0"
"196","opMod$q1q2Ratio","0.48","0.48","0.48","0.34","0.34","0.34"
"197","opMod$qChangeTime","26","26","26","26","26","26"
"198","opMod$qSurvey","0.61","0.61","0.61","1","1","1"
"199","opMod$rSeed","123","123","123","123","123","123"
"200","opMod$rSteepness","0.8","0.8","0.8","0.81","0.81","0.81"
"201","opMod$rho.int","1.033","1.033","1.033","1.033","1.033","1.033"
"202","opMod$rho.slope","-0.0371","-0.0371","-0.0371","-0.0371","-0.0371","-0.0371"
"203","opMod$sigma.alpha","0.1","0.1","0.1","0.1","0.1","0.1"
"204","opMod$sigmaL","0","0","0","0","0","0"
"205","opMod$sigmaM","0.1","0.1","0.1","0.1","0.1","0.1"
"206","opMod$sigmaR","0.830280631831494","0.830280631831494","0.830280631831494","0.751999841045301","0.751999841045301","0.751999841045301"
"207","opMod$tMP","20.65591860426","20.65591860426","20.65591860426","18.5514808462386","18.5514808462386","18.5514808462386"
"208","opMod$tolMult","9.59603879086533","9.59603879086533","9.59603879086533","8.11749860284714","8.11749860284714","8.11749860284714"
"209","opMod$tolSD","0.1","0.1","0.1","0.1","0.1","0.1"
"210","opMod$useBoot","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"211","opMod$vonK","0.43","0.43","0.43","0.43","0.43","0.43"
"212","refPts$F0","0","0","0","0","0","0"
"213","refPts$F01","3","3","3","3","3","3"
"214","refPts$F40","1.27983984199766","1.27983984199766","1.27983984199766","1.27983984199766","1.27983984199766","1.27983984199766"
"215","refPts$Fcra","3","3","3","3","3","3"
"216","refPts$Fmax","3","3","3","3","3","3"
"217","refPts$Fmsy","0.920273983152052","0.920273983152052","0.920273983152052","0.920273983152052","0.920273983152052","0.920273983152052"
"218","refPts$ssbFmsy","25.7294996519899","25.7294996519899","25.7294996519899","25.7294996519899","25.7294996519899","25.7294996519899"
"219","refPts$yieldFmsy","8.08418894906213","8.08418894906213","8.08418894906213","8.08418894906213","8.08418894906213","8.08418894906213"
