"","simID","simLabel","scenario","procedure","period","t1","t2","medAvgDep","Q1AvgDep","Q2AvgDep","medFinalDep","Q1finalDep","Q2finalDep","medLowDep","Q1LowDep","Q2LowDep","medAAV","Q1AAV","Q2AAV","medAvgCatch","Q1AvgCatch","Q2AvgCatch","medLowCatch","Q1LowCatch","Q2LowCatch","medProbCritBmsy","medProbCautBmsy","medProbHealBmsy","medProbCritB0","medProbCautB0","medProbHealB0","probFtGtFmsy","medProbClosure","Q1ProbClosure","Q2ProbClosure","yearAtDepProb","probAtDepYear","depAtYearProb","probGteDmsy","probGteLimit","omittedReps"
"454","Sim","NCod83HistM.csv-Dm2Dv0.3Mm2Mv0.4Q1","NCod83HistM.csv","Dm2Dv0.3Mm2Mv0.4Q1","Short",33,39,2.63587073640466e-08,1.71732264220665e-08,3.25485526094213e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"455","Sim","NCod83HistM.csv-Dm2Dv0.3Mm2Mv0.4Q1","NCod83HistM.csv","Dm2Dv0.3Mm2Mv0.4Q1","Medium",40,46,1.85762542397194e-09,4.79419559266644e-10,1.30563783626364e-08,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"456","Sim","NCod83HistM.csv-Dm2Dv0.3Mm2Mv0.4Q1","NCod83HistM.csv","Dm2Dv0.3Mm2Mv0.4Q1","Long",47,52,1.57815892796502e-10,1.44607374068888e-11,4.41677841123967e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"457","Sim","NCod83HistM.csv-Dm0.5Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm0.5Dv0.4Mm2Mv0.4Q1","Short",33,39,2.63587073640466e-08,1.71732264220665e-08,3.25485526094213e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"458","Sim","NCod83HistM.csv-Dm0.5Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm0.5Dv0.4Mm2Mv0.4Q1","Medium",40,46,1.85762542397194e-09,4.79419559266644e-10,1.30563783626364e-08,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"459","Sim","NCod83HistM.csv-Dm0.5Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm0.5Dv0.4Mm2Mv0.4Q1","Long",47,52,1.57815892796502e-10,1.44607374068888e-11,4.41677841123967e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"460","Sim","NCod83HistM.csv-Dm1Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm1Dv0.4Mm2Mv0.4Q1","Short",33,39,2.63587073640466e-08,1.71732264220665e-08,3.25485526094213e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"461","Sim","NCod83HistM.csv-Dm1Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm1Dv0.4Mm2Mv0.4Q1","Medium",40,46,1.85762542397194e-09,4.79419559266644e-10,1.30563783626364e-08,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"462","Sim","NCod83HistM.csv-Dm1Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm1Dv0.4Mm2Mv0.4Q1","Long",47,52,1.57815892796502e-10,1.44607374068888e-11,4.41677841123967e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"463","Sim","NCod83HistM.csv-Dm1.5Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm1.5Dv0.4Mm2Mv0.4Q1","Short",33,39,2.63587073640466e-08,1.71732264220665e-08,3.25485526094213e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"464","Sim","NCod83HistM.csv-Dm1.5Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm1.5Dv0.4Mm2Mv0.4Q1","Medium",40,46,1.85762542397194e-09,4.79419559266644e-10,1.30563783626364e-08,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"465","Sim","NCod83HistM.csv-Dm1.5Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm1.5Dv0.4Mm2Mv0.4Q1","Long",47,52,1.57815892796502e-10,1.44607374068888e-11,4.41677841123967e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"466","Sim","NCod83HistM.csv-Dm2Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm2Dv0.4Mm2Mv0.4Q1","Short",33,39,2.63587073640466e-08,1.71732264220665e-08,3.25485526094213e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,8.93718586285215e-09,1.86570216757098e-09,2.74992297959771e-08,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"467","Sim","NCod83HistM.csv-Dm2Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm2Dv0.4Mm2Mv0.4Q1","Medium",40,46,1.85762542397194e-09,4.79419559266644e-10,1.30563783626364e-08,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,3.45753464247204e-10,5.7904180792266e-11,8.57122298703251e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"468","Sim","NCod83HistM.csv-Dm2Dv0.4Mm2Mv0.4Q1","NCod83HistM.csv","Dm2Dv0.4Mm2Mv0.4Q1","Long",47,52,1.57815892796502e-10,1.44607374068888e-11,4.41677841123967e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,7.07037548567124e-11,3.07588449452813e-12,1.73555916372245e-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
