"","simFolder","simName","simFile","simInfo","simDate","scenario","mp","tMP","nT","nReps","rank","group"
"32","sim_071220151324493","sim_071220151324493","sim_071220151324493.Rdata","sim_071220151324493.info","71220151324493","NCod83HistM.csv","Dm2Dv0.3Mm1Mv0.2Q1",33,52,50,32,1
"33","sim_071220151324521","sim_071220151324521","sim_071220151324521.Rdata","sim_071220151324521.info","71220151324521","NCod83HistM.csv","Dm0.5Dv0.4Mm1Mv0.2Q1",33,52,50,33,1
"34","sim_071220151324548","sim_071220151324548","sim_071220151324548.Rdata","sim_071220151324548.info","71220151324548","NCod83HistM.csv","Dm1Dv0.4Mm1Mv0.2Q1",33,52,50,34,1
"35","sim_071220151324576","sim_071220151324576","sim_071220151324576.Rdata","sim_071220151324576.info","71220151324576","NCod83HistM.csv","Dm1.5Dv0.4Mm1Mv0.2Q1",33,52,50,35,1
"36","sim_071220151325003","sim_071220151325003","sim_071220151325003.Rdata","sim_071220151325003.info","71220151325003","NCod83HistM.csv","Dm2Dv0.4Mm1Mv0.2Q1",33,52,50,36,1
"37","sim_071220151325031","sim_071220151325031","sim_071220151325031.Rdata","sim_071220151325031.info","71220151325031","NCod83HistM.csv","Dm0.5Dv0.5Mm1Mv0.2Q1",33,52,50,37,1
"38","sim_071220151325058","sim_071220151325058","sim_071220151325058.Rdata","sim_071220151325058.info","71220151325058","NCod83HistM.csv","Dm1Dv0.5Mm1Mv0.2Q1",33,52,50,38,1
"39","sim_071220151325085","sim_071220151325085","sim_071220151325085.Rdata","sim_071220151325085.info","71220151325085","NCod83HistM.csv","Dm1.5Dv0.5Mm1Mv0.2Q1",33,52,50,39,1
"40","sim_071220151325113","sim_071220151325113","sim_071220151325113.Rdata","sim_071220151325113.info","71220151325113","NCod83HistM.csv","Dm2Dv0.5Mm1Mv0.2Q1",33,52,50,40,1
"41","sim_071220151325141","sim_071220151325141","sim_071220151325141.Rdata","sim_071220151325141.info","71220151325141","NCod83HistM.csv","Dm0.5Dv0.1Mm1.5Mv0.2Q1",33,52,50,41,1
"42","sim_071220151325168","sim_071220151325168","sim_071220151325168.Rdata","sim_071220151325168.info","71220151325168","NCod83HistM.csv","Dm1Dv0.1Mm1.5Mv0.2Q1",33,52,50,42,1
"43","sim_071220151325196","sim_071220151325196","sim_071220151325196.Rdata","sim_071220151325196.info","71220151325196","NCod83HistM.csv","Dm1.5Dv0.1Mm1.5Mv0.2Q1",33,52,50,43,1
"44","sim_071220151325223","sim_071220151325223","sim_071220151325223.Rdata","sim_071220151325223.info","71220151325223","NCod83HistM.csv","Dm2Dv0.1Mm1.5Mv0.2Q1",33,52,50,44,1
"45","sim_071220151325251","sim_071220151325251","sim_071220151325251.Rdata","sim_071220151325251.info","71220151325251","NCod83HistM.csv","Dm0.5Dv0.2Mm1.5Mv0.2Q1",33,52,50,45,1
"46","sim_071220151325279","sim_071220151325279","sim_071220151325279.Rdata","sim_071220151325279.info","71220151325279","NCod83HistM.csv","Dm1Dv0.2Mm1.5Mv0.2Q1",33,52,50,46,1
"47","sim_071220151325306","sim_071220151325306","sim_071220151325306.Rdata","sim_071220151325306.info","71220151325306","NCod83HistM.csv","Dm1.5Dv0.2Mm1.5Mv0.2Q1",33,52,50,47,1
"48","sim_071220151325333","sim_071220151325333","sim_071220151325333.Rdata","sim_071220151325333.info","71220151325333","NCod83HistM.csv","Dm2Dv0.2Mm1.5Mv0.2Q1",33,52,50,48,1
"49","sim_071220151325361","sim_071220151325361","sim_071220151325361.Rdata","sim_071220151325361.info","71220151325361","NCod83HistM.csv","Dm0.5Dv0.3Mm1.5Mv0.2Q1",33,52,50,49,1
"50","sim_071220151325390","sim_071220151325390","sim_071220151325390.Rdata","sim_071220151325390.info","71220151325390","NCod83HistM.csv","Dm1Dv0.3Mm1.5Mv0.2Q1",33,52,50,50,1
"51","sim_071220151325417","sim_071220151325417","sim_071220151325417.Rdata","sim_071220151325417.info","71220151325417","NCod83HistM.csv","Dm1.5Dv0.3Mm1.5Mv0.2Q1",33,52,50,51,1
"52","sim_071220151325444","sim_071220151325444","sim_071220151325444.Rdata","sim_071220151325444.info","71220151325444","NCod83HistM.csv","Dm2Dv0.3Mm1.5Mv0.2Q1",33,52,50,52,1
"53","sim_071220151325473","sim_071220151325473","sim_071220151325473.Rdata","sim_071220151325473.info","71220151325473","NCod83HistM.csv","Dm0.5Dv0.4Mm1.5Mv0.2Q1",33,52,50,53,1
"54","sim_071220151325501","sim_071220151325501","sim_071220151325501.Rdata","sim_071220151325501.info","71220151325501","NCod83HistM.csv","Dm1Dv0.4Mm1.5Mv0.2Q1",33,52,50,54,1
"55","sim_071220151325528","sim_071220151325528","sim_071220151325528.Rdata","sim_071220151325528.info","71220151325528","NCod83HistM.csv","Dm1.5Dv0.4Mm1.5Mv0.2Q1",33,52,50,55,1
"56","sim_071220151325557","sim_071220151325557","sim_071220151325557.Rdata","sim_071220151325557.info","71220151325557","NCod83HistM.csv","Dm2Dv0.4Mm1.5Mv0.2Q1",33,52,50,56,1
"57","sim_071220151325584","sim_071220151325584","sim_071220151325584.Rdata","sim_071220151325584.info","71220151325584","NCod83HistM.csv","Dm0.5Dv0.5Mm1.5Mv0.2Q1",33,52,50,57,1
"58","sim_071220151326013","sim_071220151326013","sim_071220151326013.Rdata","sim_071220151326013.info","71220151326013","NCod83HistM.csv","Dm1Dv0.5Mm1.5Mv0.2Q1",33,52,50,58,1
"59","sim_071220151326041","sim_071220151326041","sim_071220151326041.Rdata","sim_071220151326041.info","71220151326041","NCod83HistM.csv","Dm1.5Dv0.5Mm1.5Mv0.2Q1",33,52,50,59,1
"60","sim_071220151326069","sim_071220151326069","sim_071220151326069.Rdata","sim_071220151326069.info","71220151326069","NCod83HistM.csv","Dm2Dv0.5Mm1.5Mv0.2Q1",33,52,50,60,1
"61","sim_071220151326097","sim_071220151326097","sim_071220151326097.Rdata","sim_071220151326097.info","71220151326097","NCod83HistM.csv","Dm0.5Dv0.1Mm2Mv0.2Q1",33,52,50,61,1
"62","sim_071220151326126","sim_071220151326126","sim_071220151326126.Rdata","sim_071220151326126.info","71220151326126","NCod83HistM.csv","Dm1Dv0.1Mm2Mv0.2Q1",33,52,50,62,1
"63","sim_071220151326154","sim_071220151326154","sim_071220151326154.Rdata","sim_071220151326154.info","71220151326154","NCod83HistM.csv","Dm1.5Dv0.1Mm2Mv0.2Q1",33,52,50,63,1
"64","sim_071220151326182","sim_071220151326182","sim_071220151326182.Rdata","sim_071220151326182.info","71220151326182","NCod83HistM.csv","Dm2Dv0.1Mm2Mv0.2Q1",33,52,50,64,1
"65","sim_071220151326212","sim_071220151326212","sim_071220151326212.Rdata","sim_071220151326212.info","71220151326212","NCod83HistM.csv","Dm0.5Dv0.2Mm2Mv0.2Q1",33,52,50,65,1
"66","sim_071220151326240","sim_071220151326240","sim_071220151326240.Rdata","sim_071220151326240.info","71220151326240","NCod83HistM.csv","Dm1Dv0.2Mm2Mv0.2Q1",33,52,50,66,1
"67","sim_071220151326269","sim_071220151326269","sim_071220151326269.Rdata","sim_071220151326269.info","71220151326269","NCod83HistM.csv","Dm1.5Dv0.2Mm2Mv0.2Q1",33,52,50,67,1
"68","sim_071220151326297","sim_071220151326297","sim_071220151326297.Rdata","sim_071220151326297.info","71220151326297","NCod83HistM.csv","Dm2Dv0.2Mm2Mv0.2Q1",33,52,50,68,1
"69","sim_071220151326325","sim_071220151326325","sim_071220151326325.Rdata","sim_071220151326325.info","71220151326325","NCod83HistM.csv","Dm0.5Dv0.3Mm2Mv0.2Q1",33,52,50,69,1
"70","sim_071220151326354","sim_071220151326354","sim_071220151326354.Rdata","sim_071220151326354.info","71220151326354","NCod83HistM.csv","Dm1Dv0.3Mm2Mv0.2Q1",33,52,50,70,1
"71","sim_071220151326382","sim_071220151326382","sim_071220151326382.Rdata","sim_071220151326382.info","71220151326382","NCod83HistM.csv","Dm1.5Dv0.3Mm2Mv0.2Q1",33,52,50,71,1
"72","sim_071220151326411","sim_071220151326411","sim_071220151326411.Rdata","sim_071220151326411.info","71220151326411","NCod83HistM.csv","Dm2Dv0.3Mm2Mv0.2Q1",33,52,50,72,1
"73","sim_071220151326439","sim_071220151326439","sim_071220151326439.Rdata","sim_071220151326439.info","71220151326439","NCod83HistM.csv","Dm0.5Dv0.4Mm2Mv0.2Q1",33,52,50,73,1
"74","sim_071220151326467","sim_071220151326467","sim_071220151326467.Rdata","sim_071220151326467.info","71220151326467","NCod83HistM.csv","Dm1Dv0.4Mm2Mv0.2Q1",33,52,50,74,1
"75","sim_071220151326497","sim_071220151326497","sim_071220151326497.Rdata","sim_071220151326497.info","71220151326497","NCod83HistM.csv","Dm1.5Dv0.4Mm2Mv0.2Q1",33,52,50,75,1
"76","sim_071220151326525","sim_071220151326525","sim_071220151326525.Rdata","sim_071220151326525.info","71220151326525","NCod83HistM.csv","Dm2Dv0.4Mm2Mv0.2Q1",33,52,50,76,1
"77","sim_071220151326553","sim_071220151326553","sim_071220151326553.Rdata","sim_071220151326553.info","71220151326553","NCod83HistM.csv","Dm0.5Dv0.5Mm2Mv0.2Q1",33,52,50,77,1
"78","sim_071220151326582","sim_071220151326582","sim_071220151326582.Rdata","sim_071220151326582.info","71220151326582","NCod83HistM.csv","Dm1Dv0.5Mm2Mv0.2Q1",33,52,50,78,1
"79","sim_071220151327011","sim_071220151327011","sim_071220151327011.Rdata","sim_071220151327011.info","71220151327011","NCod83HistM.csv","Dm1.5Dv0.5Mm2Mv0.2Q1",33,52,50,79,1
"80","sim_071220151327039","sim_071220151327039","sim_071220151327039.Rdata","sim_071220151327039.info","71220151327039","NCod83HistM.csv","Dm2Dv0.5Mm2Mv0.2Q1",33,52,50,80,1
"81","sim_071220151327067","sim_071220151327067","sim_071220151327067.Rdata","sim_071220151327067.info","71220151327067","NCod83HistM.csv","Dm0.5Dv0.1Mm0.5Mv0.4Q1",33,52,50,81,1
"82","sim_071220151327096","sim_071220151327096","sim_071220151327096.Rdata","sim_071220151327096.info","71220151327096","NCod83HistM.csv","Dm1Dv0.1Mm0.5Mv0.4Q1",33,52,50,82,1
"83","sim_071220151327124","sim_071220151327124","sim_071220151327124.Rdata","sim_071220151327124.info","71220151327124","NCod83HistM.csv","Dm1.5Dv0.1Mm0.5Mv0.4Q1",33,52,50,83,1
"84","sim_071220151327153","sim_071220151327153","sim_071220151327153.Rdata","sim_071220151327153.info","71220151327153","NCod83HistM.csv","Dm2Dv0.1Mm0.5Mv0.4Q1",33,52,50,84,1
"85","sim_071220151327181","sim_071220151327181","sim_071220151327181.Rdata","sim_071220151327181.info","71220151327181","NCod83HistM.csv","Dm0.5Dv0.2Mm0.5Mv0.4Q1",33,52,50,85,1
"86","sim_071220151327211","sim_071220151327211","sim_071220151327211.Rdata","sim_071220151327211.info","71220151327211","NCod83HistM.csv","Dm1Dv0.2Mm0.5Mv0.4Q1",33,52,50,86,1
"87","sim_071220151327240","sim_071220151327240","sim_071220151327240.Rdata","sim_071220151327240.info","71220151327240","NCod83HistM.csv","Dm1.5Dv0.2Mm0.5Mv0.4Q1",33,52,50,87,1
"88","sim_071220151327268","sim_071220151327268","sim_071220151327268.Rdata","sim_071220151327268.info","71220151327268","NCod83HistM.csv","Dm2Dv0.2Mm0.5Mv0.4Q1",33,52,50,88,1
"89","sim_071220151327297","sim_071220151327297","sim_071220151327297.Rdata","sim_071220151327297.info","71220151327297","NCod83HistM.csv","Dm0.5Dv0.3Mm0.5Mv0.4Q1",33,52,50,89,1
"90","sim_071220151327326","sim_071220151327326","sim_071220151327326.Rdata","sim_071220151327326.info","71220151327326","NCod83HistM.csv","Dm1Dv0.3Mm0.5Mv0.4Q1",33,52,50,90,1
"91","sim_071220151327355","sim_071220151327355","sim_071220151327355.Rdata","sim_071220151327355.info","71220151327355","NCod83HistM.csv","Dm1.5Dv0.3Mm0.5Mv0.4Q1",33,52,50,91,1
"92","sim_071220151327385","sim_071220151327385","sim_071220151327385.Rdata","sim_071220151327385.info","71220151327385","NCod83HistM.csv","Dm2Dv0.3Mm0.5Mv0.4Q1",33,52,50,92,1
"93","sim_071220151327414","sim_071220151327414","sim_071220151327414.Rdata","sim_071220151327414.info","71220151327414","NCod83HistM.csv","Dm0.5Dv0.4Mm0.5Mv0.4Q1",33,52,50,93,1
"94","sim_071220151327443","sim_071220151327443","sim_071220151327443.Rdata","sim_071220151327443.info","71220151327443","NCod83HistM.csv","Dm1Dv0.4Mm0.5Mv0.4Q1",33,52,50,94,1
"95","sim_071220151327474","sim_071220151327474","sim_071220151327474.Rdata","sim_071220151327474.info","71220151327474","NCod83HistM.csv","Dm1.5Dv0.4Mm0.5Mv0.4Q1",33,52,50,95,1
"96","sim_071220151327503","sim_071220151327503","sim_071220151327503.Rdata","sim_071220151327503.info","71220151327503","NCod83HistM.csv","Dm2Dv0.4Mm0.5Mv0.4Q1",33,52,50,96,1
"97","sim_071220151327532","sim_071220151327532","sim_071220151327532.Rdata","sim_071220151327532.info","71220151327532","NCod83HistM.csv","Dm0.5Dv0.5Mm0.5Mv0.4Q1",33,52,50,97,1
"98","sim_071220151327561","sim_071220151327561","sim_071220151327561.Rdata","sim_071220151327561.info","71220151327561","NCod83HistM.csv","Dm1Dv0.5Mm0.5Mv0.4Q1",33,52,50,98,1
"99","sim_071220151327589","sim_071220151327589","sim_071220151327589.Rdata","sim_071220151327589.info","71220151327589","NCod83HistM.csv","Dm1.5Dv0.5Mm0.5Mv0.4Q1",33,52,50,99,1
"100","sim_071220151328017","sim_071220151328017","sim_071220151328017.Rdata","sim_071220151328017.info","71220151328017","NCod83HistM.csv","Dm2Dv0.5Mm0.5Mv0.4Q1",33,52,50,100,1
"101","sim_071220151328046","sim_071220151328046","sim_071220151328046.Rdata","sim_071220151328046.info","71220151328046","NCod83HistM.csv","Dm0.5Dv0.1Mm1Mv0.4Q1",33,52,50,101,1
"102","sim_071220151328075","sim_071220151328075","sim_071220151328075.Rdata","sim_071220151328075.info","71220151328075","NCod83HistM.csv","Dm1Dv0.1Mm1Mv0.4Q1",33,52,50,102,1
"103","sim_071220151328103","sim_071220151328103","sim_071220151328103.Rdata","sim_071220151328103.info","71220151328103","NCod83HistM.csv","Dm1.5Dv0.1Mm1Mv0.4Q1",33,52,50,103,1
"104","sim_071220151328132","sim_071220151328132","sim_071220151328132.Rdata","sim_071220151328132.info","71220151328132","NCod83HistM.csv","Dm2Dv0.1Mm1Mv0.4Q1",33,52,50,104,1
"105","sim_071220151328162","sim_071220151328162","sim_071220151328162.Rdata","sim_071220151328162.info","71220151328162","NCod83HistM.csv","Dm0.5Dv0.2Mm1Mv0.4Q1",33,52,50,105,1
"106","sim_071220151328190","sim_071220151328190","sim_071220151328190.Rdata","sim_071220151328190.info","71220151328190","NCod83HistM.csv","Dm1Dv0.2Mm1Mv0.4Q1",33,52,50,106,1
"107","sim_071220151328218","sim_071220151328218","sim_071220151328218.Rdata","sim_071220151328218.info","71220151328218","NCod83HistM.csv","Dm1.5Dv0.2Mm1Mv0.4Q1",33,52,50,107,1
"108","sim_071220151328248","sim_071220151328248","sim_071220151328248.Rdata","sim_071220151328248.info","71220151328248","NCod83HistM.csv","Dm2Dv0.2Mm1Mv0.4Q1",33,52,50,108,1
